Past draw results of lottery South Africa Daily Lotto of the year 2019 Year 2019 (from 2019)
Date	SERIES					
2019-04-09	16	31	06	24	30	
2019-04-08	15	13	11	19	31	
2019-04-07	20	35	23	06	34	
2019-04-06	17	24	36	25	04	
2019-04-05	36	35	27	15	13	
2019-04-04	01	03	10	16	36	
2019-04-03	08	14	16	33	34	
2019-04-02	05	21	22	26	32	
2019-04-01	03	10	23	25	36	
2019-03-31	01	15	23	32	34	
2019-03-30	16	17	24	25	30	
2019-03-29	01	05	06	27	31	
2019-03-28	07	20	30	31	34	
2019-03-27	04	05	10	12	25	
2019-03-26	02	09	13	30	32	
2019-03-25	10	11	12	19	23	
2019-03-24	01	21	24	28	29	
2019-03-23	03	07	10	13	17	
2019-03-22	09	12	17	33	35	
2019-03-21	02	07	10	14	23	
2019-03-20	02	16	19	29	33	
2019-03-19	07	09	11	19	26	
2019-03-18	01	18	29	33	36	
2019-03-17	05	09	15	21	36	
2019-03-16	02	05	16	18	19	
2019-03-15	09	10	12	25	27	
2019-03-14	01	05	09	26	32	
2019-03-13	04	10	16	21	35	
2019-03-12	11	16	17	29	32	
2019-03-11	07	10	19	24	32	
2019-03-10	01	07	11	18	34	


Lottologia.com
